Year,Production,Apparent domestic use ,seed,other a,Exports ,Imports
1991-01-01,14214.6,2416.801,414.815,2001.987,10936.685,0.0
1992-01-01,15066.1,3239.106,323.231,2915.875,11948.953,0.018
1993-01-01,10557.3,4095.661,372.357,3723.304,7077.106,0.147
1994-01-01,14738.7,2741.249,377.244,2364.005,10296.286,0.145
1995-01-01,16479.2,3900.685,355.082,3545.603,13762.605,0.151
1996-01-01,8961.4,3873.051,414.932,3458.12,6310.692,0.077
1997-01-01,16503.9,4112.075,492.102,3619.973,13227.187,0.664
1998-01-01,22924.2,3544.1,469.827,3074.273,19069.231,0.752
1999-01-01,19226.7,4115.474,519.413,3596.061,15519.315,0.894
2000-01-01,21464.8,4451.553,547.538,3904.015,16193.879,0.904
2001-01-01,24757.4,4858.693,546.363,4312.33,17598.81,0.763
2002-01-01,22108.2,5072.554,518.819,4553.735,15887.732,0.025
2003-01-01,24299.4,5261.974,502.664,4759.31,16075.104,0.096
2004-01-01,10131.8,5995.829,588.02,5407.809,8926.48,299.109
2005-01-01,26131.8,5642.708,669.97,4972.738,17582.065,0.079
2006-01-01,21905.1,6351.864,622.13,5729.734,14349.445,0.073
2007-01-01,25150.4,6925.641,589.895,6335.746,15670.256,0.016
2008-01-01,10821.7,7698.484,628.91,7069.574,8406.414,0.033
2009-01-01,13569.4,6763.889,676.51,6087.379,7197.15,0.243
2010-01-01,21420.1,7445.675,694.055,6751.62,14567.696,0.037
2011-01-01,21834.0,5128.562,675.09,4453.472,14660.661,0.079
2012-01-01,27410.0,5731.906,695.107,5036.799,18514.888,0.91
2013-01-01,29905.009,6392.304,648.962,5743.342,24597.887,1.161
2014-01-01,22855.166,6491.357,630.654,5860.703,18603.854,1.683
2015-01-01,25302.707,6784.341,619.184,6165.157,18580.527,1.742
2016-01-01,23742.56,7229.255,564.11,6665.145,16542.971,1.215
2017-01-01,22274.514,7294.791,609.558,6685.233,16082.755,1.372
2018-01-01,31818.744,7738.975,545.959,7193.016,22605.442,0.954
2019-01-01,20941.133,8697.47,520.114,8177.356,13789.692,1.22
2020-01-01,17597.561,9107.296,493.159,8614.136,8961.099,305.15
2021-01-01,14480.217,8702.161,632.161,8070.0,9108.13,665.951
2022-01-01,31922.555,7596.413,636.413,6960.0,23697.109,1.104
2023-01-01,36237.477,7140.038,652.25,6487.788,27484.674,0.843
2024-01-01,40545.42,7820.208,625.12,7195.088,31796.377,0.05
